Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
TCL,Crops and livestock products,116,Democratic People's Republic of Korea,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,1,R,Estimated data using trading partners database
TCL,Crops and livestock products,250,Democratic Republic of the Congo,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,0,R,Estimated data using trading partners database
TCL,Crops and livestock products,250,Democratic Republic of the Congo,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,8640,R,Estimated data using trading partners database
TCL,Crops and livestock products,54,Denmark,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,22031,,Official data
TCL,Crops and livestock products,54,Denmark,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,9,,Official data
TCL,Crops and livestock products,55,Dominica,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,0,*,Unofficial figure
TCL,Crops and livestock products,55,Dominica,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,57,R,Estimated data using trading partners database
TCL,Crops and livestock products,56,Dominican Republic,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,1361,,Official data
TCL,Crops and livestock products,56,Dominican Republic,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,73890,,Official data
TCL,Crops and livestock products,58,Ecuador,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,1888,,Official data
TCL,Crops and livestock products,58,Ecuador,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,294063,,Official data
TCL,Crops and livestock products,59,Egypt,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,21695,Im,FAO data based on imputation methodology
TCL,Crops and livestock products,60,El Salvador,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,3206,,Official data
TCL,Crops and livestock products,60,El Salvador,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,8,,Official data
TCL,Crops and livestock products,61,Equatorial Guinea,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,960,*,Unofficial figure
TCL,Crops and livestock products,178,Eritrea,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,5,*,Unofficial figure
TCL,Crops and livestock products,178,Eritrea,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,0,*,Unofficial figure
TCL,Crops and livestock products,63,Estonia,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,2850,,Official data
TCL,Crops and livestock products,63,Estonia,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,1066,,Official data
